"comapny name","foundation date","ipo date", "not used"
"Amazon",1994-07-05T00:00:00.000Z,1997-03-24T05:00:00.000Z,No
"Facebook",2004-01-04T05:00:00.000Z,2012-02-01T21:47:18.000Z,No
"PayPal",1998-12-01T05:00:00.000Z,,No
"Wayfair",2002-08-01T00:00:00.000Z,2014-08-15T17:53:03.000Z,No
"Bloomberg L.P.",1981-10-01T00:00:00.000Z,,No
"Square",2010-05-11T00:00:00.000Z,2017-09-28T00:01:03.000Z,No
"Chewy",2011-01-01T00:00:00.000Z,2019-06-14T00:17:23.000Z,No
"Booking",1996-01-01T00:00:00.000Z,1998-12-23T05:00:00.000Z,No
"Coupang",2010-07-01T00:00:00.000Z,2021-02-12T05:00:00.000Z,No
"Carvana",2012-01-01T00:00:00.000Z,2017-03-31T20:47:39.000Z,No
"Epic Games",1991-01-01T00:00:00.000Z,,No
"ServiceNow",2003-01-01T00:00:00.000Z,2012-03-30T20:00:32.000Z,No
"Workday",2005-03-01T00:00:00.000Z,2012-08-30T20:57:58.000Z,No
"Twitter",2006-07-15T00:00:00.000Z,2013-10-03T21:07:25.000Z,No
"Compass",2012-01-01T00:00:00.000Z,2021-04-20T04:00:00.000Z,No
"Stripe",2009-01-01T00:00:00.000Z,,No
"Airbnb",2008-08-01T04:00:00.000Z,2020-11-16T05:00:00.000Z,No
"GoDaddy",1997-01-01T05:00:00.000Z,2015-04-01T01:21:17.000Z,No
"Akamai Technologies",1998-01-01T00:00:00.000Z,1999-08-20T04:00:00.000Z,No
"wework",2010-01-01T00:00:00.000Z,2019-08-14T11:07:43.000Z,No
"DoorDash",2013-01-01T00:00:00.000Z,2020-11-13T05:00:00.000Z,No
"Rackspace",1998-01-01T00:00:00.000Z,2008-04-25T21:33:50.000Z,No
"EPAM Systems",1993-01-01T00:00:00.000Z,2011-06-10T17:31:58.000Z,No
"Zoom Video",2011-04-21T00:00:00.000Z,2019-03-22T18:51:53.000Z,No
"Opendoor",2014-03-01T05:00:00.000Z,2020-02-28T21:38:01.000Z,No
"Overstock",1999-01-01T00:00:00.000Z,2002-03-05T05:00:00.000Z,No
"Wish",2011-05-01T04:00:00.000Z,,No
"Lyft",2012-06-09T04:00:00.000Z,2019-03-29T00:42:18.000Z,No
"Fanatics",1995-01-01T00:00:00.000Z,,No
"Newegg",2001-01-01T00:00:00.000Z,,No
"Instacart",2012-01-01T00:00:00.000Z,,No
"Shutterfly",1999-01-01T00:00:00.000Z,2006-06-29T01:59:18.000Z,No
"Zynga",2007-04-01T00:00:00.000Z,2011-07-01T16:09:17.000Z,No
"Dropbox",2007-06-01T04:00:00.000Z,2018-02-23T20:15:50.000Z,No
"Grubhub",2004-01-01T00:00:00.000Z,2014-02-28T16:22:55.000Z,No
"Twilio",2008-01-01T00:00:00.000Z,2016-10-07T21:03:39.000Z,No
"Stitch Fix",2011-02-01T00:00:00.000Z,2017-10-19T19:22:49.000Z,No
"Etsy",2005-06-18T00:00:00.000Z,2015-03-04T22:32:00.000Z,No
"J2 Global",1995-12-01T00:00:00.000Z,2000-05-09T04:00:00.000Z,No
"DocuSign",2003-01-01T00:00:00.000Z,2018-09-11T20:43:17.000Z,No
"Groupon",2008-11-01T00:00:00.000Z,2011-06-02T18:54:47.000Z,No
"Vroom.com",2013-08-01T00:00:00.000Z,,No
"Sabre Corporation",1960-01-01T00:00:00.000Z,2014-01-21T12:35:09.000Z,No
"Endurance International Group",1997-01-01T00:00:00.000Z,2013-09-09T18:55:21.000Z,No
"Verisign",1995-04-12T00:00:00.000Z,1997-11-21T05:00:00.000Z,No
"LogMeIn",2003-01-01T00:00:00.000Z,2008-01-11T21:55:29.000Z,No
